sheet,codigo,imagen_indice_en_hoja,archivo,sha256,width,height
E79,JPS13,1,d5acbc40a41caf7c.png,d5acbc40a41caf7c17d88333086cef9a6f6667648c3d03dba9239ad2618b59d3,928,774
E79,JPS13,2,4b7cf0b060e3061d.jpg,4b7cf0b060e3061d2ab17083e6c7ecc516b52992fe42e50f94fbd1819191cfb6,12,77
E80,JPS15,1,7a8a3463e0790443.png,7a8a3463e079044370752d0f9c98f56a068cbd21c6a45b020e7d6b1a11606b67,1112,716
E81,JPS16,1,2dfaac2e57e48f49.png,2dfaac2e57e48f4901bd4233340233fa97db0ea3ec9b7e6a1a78294e5b33aa22,1235,707
E82,JPC1,1,3df08ff4b1c07734.png,3df08ff4b1c077347620f1029c7f1ffab01aadc17e16c587063c4ae80a7e76d4,1319,862
E83,JPC2,1,9df523225acfbac7.png,9df523225acfbac78904064bdd80aa98ef1b5904af7899d1d4ebeb5b71ba8b4e,1317,834
E84,JPC3,1,3a5dcc56944a8e3d.png,3a5dcc56944a8e3dda6151fd69b80ea7b246936808dde93870b54a4336080524,1257,848
E85,JPC4,1,a421b3fe2f963a99.png,a421b3fe2f963a99a74619d0b11a1303798bbb1368d91c8c8548edbbd85f1eca,1309,848
E85,JPC4,2,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E86,JPC5,1,187224abab3af13e.png,187224abab3af13ec3b2ac907fdf5190958342c2fa86c2115d1610e583ffd636,1401,799
E87,JPC6,1,5590f1542cf1f80b.png,5590f1542cf1f80b8f6fdc22c91d708e1638cfb5bb6020b94cef7e2be11cb022,1299,855
E88,JPC7,1,6691a43fc9d17970.png,6691a43fc9d179703deca8af3b20f5bc64af595e2447ad4568612ecab6d02c89,830,542
E89,JPC8,1,97c1da49d4f759d3.png,97c1da49d4f759d3e73e57c1072e6efaff5cf2f666ed287e6656f39845f06791,1266,867
E89,JPC8,2,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E90,JPC9,1,47eaa30b25fd8561.png,47eaa30b25fd85613843aed50fe47e037ede80d2b4d1a98a4ecb0f30c13041f7,1294,862
E90,JPC9,2,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E91,JPC10,1,735ae24456da2223.png,735ae24456da22233e8200716a5adeba926a7bdcc91246f1c441d76da7bfeed0,1323,844
E91,JPC10,2,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E92,JPC11,1,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E92,JPC11,2,2e22199d245c7316.png,2e22199d245c731641f8ac3e15a017f5b4d8b48f480f200a860dcd6153856424,1293,851
E93,JPC12,1,687f9eaa8dcc0dc8.png,687f9eaa8dcc0dc8848b4a417270cb9c8e4c3658a4364e57b5fec87119960497,1231,837
E93,JPC12,2,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E94,JPC13,1,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E94,JPC13,2,724dccc6651ce57d.png,724dccc6651ce57d1adc6f8fa9c76d238696cd8ecf24bdfa1f4291e35d9cf0d7,1263,851
E95,PC1,1,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E95,PC1,2,99f19dad5037c1a6.png,99f19dad5037c1a69028aa8f1cbf122e0a9455810a9c3b4389611f3081136abd,1292,857
E96,PC2,1,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E96,PC2,2,59297b654b2407e4.png,59297b654b2407e45a252913758face561cf1e4e0cbc5071b52c4566cc03f836,1316,844
E97,PC3,1,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E97,PC3,2,39b05c6c057a5c04.png,39b05c6c057a5c04e7dc75ce68105d54b25180703f0f9fe727a38a34b7bb5dbf,1253,864
